Id	Category
3	politics
7	politics
24	politics
25	politics
36	politics
43	politics
59	politics
63	politics
67	politics
69	politics
84	business
86	politics
91	politics
93	politics
94	politics
99	politics
106	politics
112	politics
126	politics
129	politics
130	politics
134	politics
136	politics
137	politics
146	politics
147	politics
151	politics
153	politics
160	politics
163	politics
164	politics
166	politics
168	business
176	politics
180	politics
189	politics
197	politics
199	politics
201	politics
207	politics
209	politics
216	politics
221	politics
226	politics
237	politics
256	politics
257	politics
273	politics
274	politics
275	politics
277	politics
280	politics
281	politics
290	politics
291	politics
292	politics
297	politics
305	politics
307	politics
323	politics
324	politics
329	politics
336	business
339	politics
340	politics
343	politics
348	politics
355	politics
357	politics
368	politics
369	politics
373	politics
388	politics
400	politics
407	politics
423	business
429	tech
430	tech
433	tech
437	tech
449	tech
454	tech
455	tech
463	tech
468	tech
469	tech
470	tech
480	tech
498	tech
502	tech
504	tech
508	tech
509	tech
514	tech
525	tech
534	tech
537	tech
544	politics
550	tech
555	tech
556	tech
560	tech
573	tech
577	tech
584	tech
586	tech
591	tech
595	tech
603	tech
606	tech
607	tech
612	tech
617	tech
623	tech
628	tech
631	tech
637	tech
639	tech
647	tech
650	tech
653	tech
659	tech
663	tech
694	tech
697	tech
698	tech
705	tech
710	tech
714	tech
715	tech
730	entertainment
732	tech
739	tech
749	tech
750	tech
755	tech
756	tech
763	tech
765	tech
767	tech
770	tech
774	tech
786	tech
797	tech
800	tech
802	tech
803	tech
804	tech
807	tech
809	tech
816	tech
819	business
821	business
832	business
835	business
837	business
843	business
851	business
854	business
855	business
859	business
860	business
865	business
872	business
873	business
882	business
885	business
888	business
889	business
890	business
894	business
903	business
908	business
925	business
928	business
929	business
931	business
932	business
941	business
945	business
947	business
951	business
952	business
954	business
956	business
967	business
972	business
973	business
976	business
990	business
1004	business
1006	business
1007	business
1008	business
1009	business
1016	business
1020	business
1022	business
1028	business
1033	business
1037	business
1040	business
1048	business
1053	business
1071	business
1077	business
1080	business
1085	business
1104	politics
1107	business
1111	business
1112	tech
1117	business
1118	business
1130	business
1134	business
1138	business
1141	business
1144	business
1152	business
1153	business
1155	business
1160	business
1162	business
1163	business
1167	business
1172	business
1176	business
1198	business
1204	business
1206	business
1207	business
1208	business
1215	business
1219	tech
1231	business
1233	business
1241	business
1243	business
1249	politics
1250	politics
1251	business
1252	business
1272	business
1278	business
1283	business
1289	business
1297	business
1298	business
1300	business
1304	business
1306	business
1308	business
1313	business
1314	business
1316	business
1324	business
1329	sport
1331	sport
1338	sport
1345	sport
1346	sport
1348	sport
1350	sport
1352	sport
1365	sport
1371	sport
1377	sport
1381	sport
1384	sport
1392	sport
1393	sport
1395	sport
1397	sport
1400	sport
1429	sport
1434	sport
1435	sport
1438	sport
1443	sport
1445	sport
1447	sport
1450	sport
1457	sport
1466	sport
1468	sport
1469	sport
1470	sport
1472	sport
1479	sport
1483	sport
1488	sport
1497	sport
1514	sport
1531	sport
1532	sport
1536	sport
1541	sport
1552	sport
1556	sport
1558	sport
1560	sport
1561	sport
1563	sport
1564	sport
1565	sport
1566	sport
1575	sport
1578	sport
1579	sport
1587	sport
1589	sport
1590	sport
1594	sport
1596	sport
1599	sport
1605	sport
1617	sport
1619	sport
1634	sport
1640	sport
1641	sport
1645	sport
1647	sport
1653	sport
1660	sport
1667	sport
1672	sport
1681	sport
1684	sport
1686	sport
1690	sport
1694	sport
1699	sport
1701	sport
1703	sport
1718	sport
1720	sport
1723	sport
1731	sport
1740	sport
1744	sport
1745	sport
1750	sport
1763	sport
1773	sport
1777	sport
1778	sport
1792	sport
1795	sport
1798	sport
1800	sport
1805	sport
1806	sport
1812	business
1822	sport
1823	sport
1828	sport
1844	entertainment
1847	entertainment
1850	entertainment
1862	entertainment
1863	entertainment
1871	entertainment
1877	entertainment
1881	entertainment
1895	entertainment
1896	entertainment
1899	entertainment
1904	tech
1905	entertainment
1907	entertainment
1908	entertainment
1910	entertainment
1913	entertainment
1915	entertainment
1917	entertainment
1920	entertainment
1925	entertainment
1930	entertainment
1934	entertainment
1940	entertainment
1942	entertainment
1951	entertainment
1954	entertainment
1956	tech
1957	entertainment
1966	entertainment
1970	entertainment
1973	entertainment
1974	entertainment
1975	entertainment
1982	entertainment
1987	entertainment
1995	entertainment
1999	entertainment
2007	entertainment
2008	entertainment
2018	entertainment
2022	entertainment
2023	entertainment
2024	entertainment
2027	entertainment
2028	entertainment
2031	entertainment
2034	entertainment
2036	entertainment
2037	entertainment
2046	entertainment
2059	entertainment
2061	entertainment
2063	entertainment
2064	entertainment
2070	entertainment
2071	entertainment
2076	entertainment
2077	entertainment
2080	entertainment
2094	entertainment
2105	entertainment
2110	business
2120	entertainment
2124	entertainment
2126	entertainment
2128	entertainment
2131	entertainment
2132	entertainment
2135	entertainment
2136	entertainment
2137	entertainment
2148	entertainment
2153	entertainment
2154	entertainment
2157	entertainment
2163	entertainment
2176	entertainment
2178	entertainment
2179	entertainment
2193	entertainment
2200	entertainment
2201	entertainment
2209	entertainment
2210	entertainment
2211	entertainment
2213	entertainment
